ProductGroupID,GroupName,GroupDescription,Department,Category,Subcategory,TargetMarket,AveragePrice,ProductCount,GroupManager,LastUpdated
1,part Technology,Someone quite seat really large.,compare,test,bill,guess,1385.7290261035314,7,Meagan Perry,2024-01-29
2,threat Technology,Present situation major kind morning organization.,everyone,home,site,price,1221.9357736531754,6,Brandon Smith,2024-05-03
3,site Technology,Conference single whether half rest total.,art,what,hotel,manage,156.61471693233364,11,Ronald Lamb,2024-06-27
4,environmental Technology,Card fear reflect serve add.,fill,live,provide,win,542.0556974424053,5,Hunter Price,2024-01-23
5,action Technology,Marriage live no.,available,sound,since,study,1166.3656195833646,18,Chelsey Hendrix,2024-01-12
6,performance Technology,Man care sound society understand response.,believe,door,many,institution,518.8371818773237,13,John Humphrey,2024-06-08
7,history Technology,Media part position within particularly account.,thing,candidate,allow,market,1637.9178676878707,5,Brandy Vega,2024-04-09
8,white Technology,Avoid attention head reveal.,dog,network,certainly,dinner,1541.7339975465577,10,Jason Martin,2024-07-24
9,full Technology,Federal modern charge.,pretty,image,play,future,1426.464850477631,15,Scott Beasley,2024-02-27
10,already Technology,Event piece alone.,election,watch,they,risk,627.9555491761195,11,Richard Smith,2024-05-25
11,generation Technology,Gas pass big former Democrat store girl.,without,brother,forward,window,1918.7048371928843,15,Zachary Jones,2024-06-22
12,example Technology,Finish others dinner cell into measure.,Democrat,account,animal,peace,294.1995253877126,17,Alexandra Jones,2024-05-02
13,turn Technology,Vote number north.,still,century,fight,music,283.7611159835816,16,Maurice Gutierrez,2024-03-29
14,stage Technology,Best animal young land bill between stand.,into,already,among,time,1247.079459597093,6,Mr. Richard Matthews DDS,2024-07-23
15,free Technology,Off dinner similar certain issue political.,old,direction,leader,fast,1486.490394718254,8,Craig Jones,2024-05-17
16,my Technology,Deep audience decade hospital often.,minute,create,budget,head,1948.919951560804,17,Rebecca Jordan,2024-05-21
17,be Technology,Under this sit financial when assume improve.,race,either,military,baby,249.72037634907053,14,Donna West,2024-04-10
18,speech Technology,Great agency director option officer.,impact,analysis,apply,believe,1675.8688620806902,16,Charlene Hurst,2024-02-19
19,option Technology,Might him begin.,director,hotel,more,step,1196.9690759878479,7,Lisa Clark,2024-02-21
20,star Technology,Recent light play under physical father claim agent.,many,quickly,mouth,fast,187.06632894575822,12,John Ryan,2024-01-13
21,main Technology,More something chance since federal.,thousand,another,artist,hope,1568.8298474985147,7,Carrie Frank,2024-07-28
22,scene Technology,Name course industry public.,want,form,over,expect,1725.103669928779,8,Thomas Andrade,2024-08-02
23,plant Technology,Language various security call stay account top.,total,although,leave,same,822.2398275744157,19,Edward Fernandez,2024-02-26
24,center Technology,Bring growth would close news.,child,soon,majority,over,1307.8004441023604,16,Abigail Flores,2024-04-04
25,card Technology,Cover kid imagine behavior difference.,series,population,production,however,409.04278459656115,16,Rhonda Harper,2024-07-05
26,employee Technology,Serious its fight three.,face,product,poor,speak,498.06335846582664,13,Brett Fox,2024-02-12
27,eye Technology,Time heavy later politics much ok.,community,pull,rich,tree,1433.4585955712475,7,Tina Phillips,2024-01-10
28,yes Technology,Stop rich energy offer upon.,process,answer,west,employee,1257.3489107672776,10,David Stephens,2024-08-02
29,coach Technology,Point value in.,off,century,out,once,1114.8657663564452,12,Erin Schwartz,2024-01-25
30,type Technology,Worry pattern population market understand accept fight relationship.,agency,same,able,both,410.4647381476639,17,James Johns,2024-05-12
31,cup Technology,Vote claim benefit pretty skill protect benefit.,seek,month,son,apply,612.9008708901282,12,John Saunders,2024-07-02
32,improve Technology,Its return second house.,discover,along,old,high,1400.7670768807618,6,Tracy Hubbard DVM,2024-05-16
33,realize Technology,Reality chair fall whether.,including,carry,her,court,535.1913367317983,6,Joseph Watson,2024-04-11
34,like Technology,Likely fill add professor read race.,agent,act,rather,newspaper,1629.5870214653073,17,Sean Johnson,2024-07-16
35,me Technology,Bar kitchen federal its.,number,analysis,staff,few,608.7076643538352,11,Kenneth Adams,2024-04-20
36,hot Technology,Talk season blue grow.,degree,either,company,owner,1834.9586359525356,15,Tyler Lewis,2024-06-12
37,example Technology,North campaign time bar between.,a,significant,church,candidate,503.99043370286716,20,Michael Price,2024-03-01
38,I Technology,Whether single final several.,hospital,show,measure,guess,851.7006120152621,19,Kathleen Lee,2024-08-03
39,fill Technology,Degree situation project hospital early without.,base,must,since,boy,371.45602183991906,9,Jordan Thomas,2024-01-14
40,field Technology,Environment specific drop.,recently,yes,green,last,568.5922646185686,13,Victoria Underwood,2024-02-18
41,despite Technology,School direction name others fund society most.,eat,north,writer,everyone,1519.32624213929,18,Jeffrey Davis,2024-05-23
42,prepare Technology,Able including democratic test.,ground,born,draw,outside,1805.8634788447062,17,Marie Green,2024-04-15
43,hope Technology,Reduce treat left data.,five,however,soldier,view,787.7932430558608,9,Dakota Keller,2024-04-21
44,activity Technology,Civil century do brother person.,wall,chance,establish,war,1068.0999579852826,7,Lisa Shah,2024-06-21
45,money Technology,Say decision economic business.,against,soon,bill,series,1535.9860993141017,8,Kimberly Powell,2024-05-13
46,under Technology,Simple car show call.,foreign,stage,task,protect,390.398506761696,10,Nicholas Stevens,2024-03-28
47,response Technology,Hair power environmental image race see.,culture,any,sound,understand,1604.9507922896319,18,Michelle Daniel,2024-03-21
48,star Technology,Study prepare design.,rate,evening,throw,leg,1233.1771583907503,17,Lauren Bradley MD,2024-04-19
49,adult Technology,Issue same allow tree reality.,who,again,pressure,which,825.0766443624199,19,Elizabeth Wilson,2024-03-01
50,maybe Technology,Tax pressure push free information reason.,yeah,reason,ten,we,1105.3172556883603,5,Andrea Graham MD,2024-07-17
